question_id,type,question,gold_answer,gold_answer_text,error_count,wrong_models
5,方剂名匹配组成,方剂“斩梦丹”的正确组成是下列哪一项？,A,知母、黄柏、滑石,6,GPT-5.4:B->白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、五味子 | O3:B->白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、五味子 | DeepSeek-V3.2:D->大黄、葶苈子、芒硝、苦杏仁 | Claude-Sonnet-4.6:D->大黄、葶苈子、芒硝、苦杏仁 | Qwen3.5-Plus:B->白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、五味子 | 百川:B->白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、五味子
31,方剂名匹配组成,方剂“甘草附子汤”的正确组成是下列哪一项？,B,甘草、附子、白术、桂枝,3,O3:None-> | Gemini-3.1-Pro-Preview:None-> | 仲景:A->当归、川芎、人参、干姜、甘草、白芍
34,方剂名匹配组成,方剂“导气汤”的正确组成是下列哪一项？,C,川楝子、木香、小茴香、吴茱萸,3,GPT-5.4:B->黄连、吴茱萸、木香 | O3:B->黄连、吴茱萸、木香 | 仲景:A->甘草、生姜、人参、生地、桂枝、麦冬、阿胶、火麻仁、大枣
41,方剂名匹配组成,方剂“贞元饮”的正确组成是下列哪一项？,D,熟地、甘草、当归,3,O3:None-> | Gemini-3.1-Pro-Preview:None-> | 仲景:A->麻黄、石膏、生姜、大枣、甘草
80,方剂名匹配主治病症,方剂“防己茯苓汤”对应的治疗病症是下列哪一项？,D,益气健脾，温阳利水。主治皮水。四肢肿，水气在皮肤中，四肢肌肉晌动。,3,Gemini-3.1-Pro-Preview:None-> | Claude-Sonnet-4.6:None-> | 仲景:A->下焦热结。症见血淋尿血，小便频数、赤涩热痛、舌红、脉数。
81,方剂名匹配主治病症,方剂“清脾饮”对应的治疗病症是下列哪一项？,B,妊娠疟症，热多寒少。,3,O3:None-> | Claude-Sonnet-4.6:None-> | 仲景:C->脾虚肝旺之痛泻。肠鸣腹痛，大便泄泻，泻必腹痛，泻后痛缓（或泻后仍腹痛），舌苔薄白，脉两关不调，左弦而右缓者。
82,方剂名匹配主治病症,方剂“泽泻散”对应的治疗病症是下列哪一项？,C,治妊娠气壅，身体腹胁浮肿，气喘息促，大便难，小便涩。,3,GPT-5.4:D->治目赤，疼痛不可忍者。 | Claude-Sonnet-4.6:D->治目赤，疼痛不可忍者。 | 仲景:A->瘀血挟风湿，经络痹阻，肩痛、臂痛、腰腿痛，或周身疼痛，经久不愈者。 【各家论述】 《医林改错注释》：方中秦艽、羌活祛风除湿，桃仁、红花、当归、川芎活血祛瘀，没药、灵脂、香附行气血，止疼痛，牛膝、地龙疏通经络以利关节，甘草调和诸药。
90,方剂名匹配主治病症,方剂“针头丸”对应的治疗病症是下列哪一项？,B,治目赤，疼痛不可忍者。,3,DeepSeek-V3.2:None-> | 百川:D->伤寒汗后，胃阳虚弱，水饮内停，心下痞硬，肠鸣下利；妊娠恶阻，噤口痢。现用于胃下垂、胃扩张、慢性胃炎等属胃阳虚弱，水饮内停者。 | 仲景:D->伤寒汗后，胃阳虚弱，水饮内停，心下痞硬，肠鸣下利；妊娠恶阻，噤口痢。现用于胃下垂、胃扩张、慢性胃炎等属胃阳虚弱，水饮内停者。
91,方剂名匹配主治病症,方剂“人参蛤蚧散”对应的治疗病症是下列哪一项？,C,久咳气喘，痰稠色黄，或咳吐脓血，胸中烦热，身体日渐消瘦，或面目浮肿，脉浮虚，或日久成为肺痨。,3,DeepSeek-V3.2:None-> | Gemini-3.1-Pro-Preview:None-> | 仲景:A->主妇人妊娠，肝郁气滞，脾虚湿胜，腹中疠痛。现用于妇女功能性水肿、慢性盆腔炎、功能性子宫出血、痛经、妊娠阑尾炎，以及慢性肾炎、肝硬化腹水、脾功能亢进等属脾虚肝郁者。
38,方剂名匹配组成,方剂“增液承气汤”的正确组成是下列哪一项？,C,玄参、麦冬、生地、大黄、芒硝,2,Gemini-3.1-Pro-Preview:None-> | 仲景:A->人参、白蔻、莲子、黄连、桔梗、神曲、薏苡仁、芡实、橘红、广藿香、白术、山药、麦芽、山楂、白茯苓、甘草、白扁豆、泽泻
