model,model_display_name,question_id,type,question,gold_answer,gold_answer_text,predicted_answer,predicted_answer_text,model_response
gpt-5.4,GPT-5.4,5,方剂名匹配组成,方剂“斩梦丹”的正确组成是下列哪一项？,A,知母、黄柏、滑石,B,白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、五味子,B
gpt-5.4,GPT-5.4,34,方剂名匹配组成,方剂“导气汤”的正确组成是下列哪一项？,C,川楝子、木香、小茴香、吴茱萸,B,黄连、吴茱萸、木香,B
gpt-5.4,GPT-5.4,82,方剂名匹配主治病症,方剂“泽泻散”对应的治疗病症是下列哪一项？,C,治妊娠气壅，身体腹胁浮肿，气喘息促，大便难，小便涩。,D,治目赤，疼痛不可忍者。,D
o3,O3,5,方剂名匹配组成,方剂“斩梦丹”的正确组成是下列哪一项？,A,知母、黄柏、滑石,B,白芍、人参、白术、陈皮、茯苓、当归、桂心、甘草、熟地、远志、五味子,B
o3,O3,18,方剂名匹配组成,方剂“甘草汤”的正确组成是下列哪一项？,D,甘草,,,
o3,O3,31,方剂名匹配组成,方剂“甘草附子汤”的正确组成是下列哪一项？,B,甘草、附子、白术、桂枝,,,
o3,O3,34,方剂名匹配组成,方剂“导气汤”的正确组成是下列哪一项？,C,川楝子、木香、小茴香、吴茱萸,B,黄连、吴茱萸、木香,B
o3,O3,41,方剂名匹配组成,方剂“贞元饮”的正确组成是下列哪一项？,D,熟地、甘草、当归,,,
o3,O3,57,方剂名匹配主治病症,方剂“薏苡附子败酱散”对应的治疗病症是下列哪一项？,B,肠痈内已成脓，身无热，肌肤甲错，腹皮急，如肿状，按之软，脉数。现用于急性阑尾炎脓肿已成，或慢性阑尾炎急性发作，腹部柔软，压痛不明显，并见面色苍白，脉弱等阳虚证候者。,,,
o3,O3,59,方剂名匹配主治病症,方剂“三圣散”对应的治疗病症是下列哪一项？,A,治中风舌强不语,,,
o3,O3,71,方剂名匹配主治病症,方剂“栝楼牡蛎散”对应的治疗病症是下列哪一项？,D,生津止渴除烦，益阴潜阳。治百合病。肺胃津伤，口渴不愈者。,,,
o3,O3,79,方剂名匹配主治病症,方剂“二至丸”对应的治疗病症是下列哪一项？,D,补肾强腰。主老人或虚弱人，肾气虚损，腰痛不可屈伸，及肾阳亏虚诸证。,,,
o3,O3,81,方剂名匹配主治病症,方剂“清脾饮”对应的治疗病症是下列哪一项？,B,妊娠疟症，热多寒少。,,,
o3,O3,100,方剂名匹配主治病症,方剂“清肠饮”对应的治疗病症是下列哪一项？,C,大肠痈。,,,
